u_no	u_name	u_id	u_pw	u_height	u_date	u_age	u_disable
1	한서연	qwe1	qwe1!	157	2007-09-01	2	
2	최민서	qwe2	qwe2!	172	1999-01-05	1	
3	조민준	qwe3	qwe3!	169	2003-05-31	2	
4	김서현	qwe4	qwe4!	182	1987-11-15	1	1
5	박선우	qwe5	qwe5!	163	1995-02-05	1	
6	강수빈	qwe6	qwe6!	161	2004-02-08	2	1
7	김현준	qwe7	qwe7!	172	1992-05-06	1	1
8	박지민	qwe8	qwe8!	176	1998-04-05	1	
9	김하은	qwe9	qwe9!	135	2010-01-03	3	
10	조서윤	qwe10	qwe10!	201	1999-12-31	1	1
11	장지용	qwe11	qwe11!	115	2015-01-14	3	
12	다니엘	qwe12	qwe12!	132	2012-08-27	3	1
13	안지훈	qwe13	qwe13!	96	2018-05-23	3	1
14	한정현	qwe14	qwe14!	181	2001-11-22	2	
15	김도현	qwe15	qwe15!	159	2001-02-15	1	
16	오관석	qwe16	qwe16!	176	1988-06-17	1	
17	고요한	qwe17	qwe17!	118	2016-07-17	3	1
18	정현도	qwe18	qwe18!	183	1987-10-22	1	
19	강지수	qwe19	qwe19!	191	1999-12-18	1	1
20	최민규	qwe20	qwe20!	172	2003-04-03	2	
21	김우지	qwe21	qwe21!	177	1950-01-06	4	
