No	Name	Id	Pw	Birth	Phone	Resident	Point	Vaccine
1	한정현	user01	user01!	2002-03-20	010-7350-7349	020320-3937289	307	1
2	김민준	user02	user02!	1999-10-02	010-5801-5800	991002-1382912	304	1
3	이선용	user03	user03!	1995-05-20	010-6216-6215	950520-2843914	305	1
4	김도현	user04	user04!	1980-05-23	010-3606-3605	800523-2908123	306	0
5	김민석	user05	user05!	1989-06-05	010-3718-3717	890605-1098236	308	0
6	김치훈	user06	user06!	2000-01-01	010-7972-7971	000101-3905843	306	1
7	양우빈	user07	user07!	1996-02-20	010-1127-1126	960220-1908453	304	0
8	박정훈	user08	user08!	1995-08-21	010-7846-7845	950821-1289378	305	1
9	이기현	user09	user09!	2004-08-23	010-8330-8329	040823-3094239	304	1
10	박순형	user10	user10!	2004-02-29	010-7381-7380	040229-3901732	306	0
11	배용원	user11	user11!	2001-01-03	010-1409-1408	010103-3091238	308	1
12	석호필	user12	user12!	2002-06-21	010-4726-4725	020621-4095324	306	1
13	손이현	user13	user13!	1998-09-01	010-8763-8762	980901-2091345	304	0
14	양기탁	user14	user14!	2005-01-30	010-8114-8113	050130-3129038	307	1
15	여환섭	user15	user15!	2004-12-10	010-4362-4361	041210-3195480	308	0
16	유재석	user16	user16!	1999-01-08	010-9657-9656	990108-3120384	307	0
17	유호걸	user17	user17!	1998-06-30	010-8843-8842	980630-3584930	306	1
18	이기영	user18	user18!	1978-10-04	010-1507-1506	781004-1490785	306	1
19	이기철	user19	user19!	1984-12-19	010-9546-9545	841219-2807543	306	0
20	이두봉	user20	user20!	1992-12-04	010-4276-4275	921204-1289475	307	1
21	이서준	user21	user21!	1994-02-13	010-5724-5723	940213-1864239	306	1
22	이수권	user22	user22!	1995-10-28	010-7904-7903	951028-1897423	306	0
23	이지금	user23	user23!	2005-06-07	010-1482-1481	050607-4857934	308	0
24	이지동	user24	user24!	1979-02-14	010-6332-6331	790214-2897536	308	1
25	이지은	user25	user25!	1990-11-05	010-5218-5217	901105-2897564	308	0
26	전인환	user26	user26!	2003-04-12	010-3684-3683	030412-3897698	308	0
27	조규필	user27	user27!	1978-01-15	010-6604-6603	780115-1587934	304	0
28	조재연	user28	user28!	1996-10-25	010-6830-6829	961025-2345675	304	1
29	강해효	user29	user29!	1988-01-27	010-3374-3373	880127-1453678	305	0
30	강희준	user30	user30!	1980-02-13	010-3514-3513	800213-2986834	305	1
31	권동준	user31	user31!	2004-01-31	010-8468-8467	040131-3549634	306	1
32	권순범	user32	user32!	1980-04-17	010-8421-8420	800417-1235424	306	0
33	권지용	user33	user33!	2006-08-04	010-6302-6301	060804-3878902	306	1
34	김건호	user34	user34!	1982-12-30	010-9874-9873	821230-1783296	308	1
35	김기범	user35	user35!	1987-04-19	010-9198-9197	870419-1985743	307	0
36	김영한	user36	user36!	1996-06-10	010-3042-3041	960610-2429807	306	0
37	김영희	user37	user37!	1998-02-18	010-7256-7255	980218-1984357	306	1
38	김지영	user38	user38!	1996-03-27	010-9820-9819	960327-2905247	304	0
39	김지용	user39	user39!	1983-12-11	010-3196-3195	831211-1920784	307	0
40	김철만	user40	user40!	1997-02-17	010-5805-5804	970217-1076432	306	0
41	김철수	user41	user41!	1983-03-04	010-1958-1957	830304-1238714	308	0
42	김해솔	user42	user42!	2000-01-10	010-9994-9993	000110-4892354	305	1
43	김희년	user43	user43!	1990-05-30	010-7085-7084	900530-1974532	307	0
44	김희준	user44	user44!	2007-05-05	010-1142-1141	070505-3097635	304	0
45	노정환	user45	user45!	1993-08-28	010-6177-6176	930828-1789643	307	1
46	노지후	user46	user46!	1996-02-03	010-1901-1900	960203-7894165	307	1
47	류현준	user47	user47!	1960-05-12	010-1928-1927	600512-1098345	305	0
48	문지훈	user48	user48!	1954-05-23	010-8190-8189	540523-1294567	307	0
49	박두칠	user49	user49!	1977-02-03	010-3561-3560	770203-1970245	308	0
50	박찬호	user50	user50!	1980-01-29	010-1411-1410	800129-1345987	305	1
