No	Name	Id	Pw	Region	Birth	Resident	Point	Vaccine
1	한정현	user01	user01!	1	2002-03-20	020320-3937289	18	1
2	김민준	user02	user02!	3	1999-10-02	991002-1382912	25	1
3	이선용	user03	user03!	2	1995-05-20	950520-2843914	100	1
4	김도현	user04	user04!	5	1980-05-23	800523-2908123	85	0
5	김민석	user05	user05!	6	1989-06-05	890605-1098236	36	0
6	김치훈	user06	user06!	3	2000-01-01	000101-3905843	45	1
7	양우빈	user07	user07!	4	1996-02-20	960220-1908453	90	0
8	박정훈	user08	user08!	2	1995-08-21	950821-1289378	28	1
9	이기현	user09	user09!	1	2004-08-23	040823-3094239	88	1
10	박순형	user10	user10!	7	2004-02-29	040229-3901732	77	0
11	배용원	user11	user11!	4	2001-01-03	010103-3091238	1	1
12	석호필	user12	user12!	2	2002-06-21	020621-4095324	3	1
13	손이현	user13	user13!	4	1998-09-01	980901-2091345	2	0
14	양기탁	user14	user14!	4	2005-01-30	050130-3129038	5	1
15	여환섭	user15	user15!	1	2004-12-10	041210-3195480	6	0
16	유재석	user16	user16!	6	1999-01-08	990108-3120384	8	0
17	유호걸	user17	user17!	6	1998-06-30	980630-3584930	9	1
18	이기영	user18	user18!	1	1978-10-04	781004-1490785	11	1
19	이기철	user19	user19!	1	1984-12-19	841219-2807543	12	0
20	이두봉	user20	user20!	4	1992-12-04	921204-1289475	13	1
21	이서준	user21	user21!	2	1994-02-13	940213-1864239	14	1
22	이수권	user22	user22!	4	1995-10-28	951028-1897423	15	0
23	이지금	user23	user23!	1	2005-06-07	050607-4857934	16	0
24	이지동	user24	user24!	4	1979-02-14	790214-2897536	17	1
25	이지은	user25	user25!	2	1990-11-05	901105-2897564	19	0
26	전인환	user26	user26!	3	2003-04-12	030412-3897698	20	0
27	조규필	user27	user27!	2	1978-01-15	780115-1587934	21	0
28	조재연	user28	user28!	1	1996-10-25	961025-2345675	22	1
29	강해효	user29	user29!	3	1988-01-27	880127-1453678	24	0
30	강희준	user30	user30!	2	1980-02-13	800213-2986834	26	1
31	권동준	user31	user31!	7	2004-01-31	040131-3549634	27	1
32	권순범	user32	user32!	4	1980-04-17	800417-1235424	30	0
33	권지용	user33	user33!	2	2006-08-04	060804-3878902	31	1
34	김건호	user34	user34!	7	1982-12-30	821230-1783296	32	1
35	김기범	user35	user35!	4	1987-04-19	870419-1985743	33	0
36	김영한	user36	user36!	6	1996-06-10	960610-2429807	34	0
37	김영희	user37	user37!	5	1998-02-18	980218-1984357	35	1
38	김지영	user38	user38!	2	1996-03-27	960327-2905247	37	0
39	김지용	user39	user39!	1	1983-12-11	831211-1920784	38	0
40	김철만	user40	user40!	2	1997-02-17	970217-1076432	39	0
41	김철수	user41	user41!	6	1983-03-04	830304-1238714	40	0
42	김해솔	user42	user42!	6	2000-01-10	000110-4892354	41	1
43	김희년	user43	user43!	2	1990-05-30	900530-1974532	42	0
44	김희준	user44	user44!	1	2007-05-05	070505-3097635	43	0
45	노정환	user45	user45!	1	1993-08-28	930828-1789643	44	1
46	노지후	user46	user46!	1	1996-02-03	960203-7894165	46	1
47	류현준	user47	user47!	5	1960-05-12	600512-1098345	48	0
48	문지훈	user48	user48!	6	1954-05-23	540523-1294567	50	0
49	박두칠	user49	user49!	6	1977-02-03	770203-1970245	57	0
50	박찬호	user50	user50!	6	1980-01-29	800129-1345987	61	1
