c_no	r_no	c_sex	c_name	c_birth	c_seat	c_division
1	1	0	Kim Jina	2010-07-01	a1	1
2	1	0	Kim Seowoo	2012-02-02	a3	2
3	1	0	Kim Awoon	2013-06-01	b2	2
4	1	1	Seo Arin	2000-01-01	c4	1
5	1	1	Cho Arin	2014-01-01	c5	2
6	2	1	Cho Handeul	2004-01-13	a4	1
7	2	1	Kim Yerin	2005-01-15	b2	1
8	2	0	Kang Arim	1999-01-13	c12	1
9	3	0	Seo Juan	1980-05-01	a3	1
10	3	1	Kim Soohan	1990-03-01	b12	1
11	3	1	Cho Youngsoo	2016-01-14	d1	2
12	3	1	Kim Hajin	1991-01-30	e1	1
13	4	0	Baek Sooin	2020-09-01	a4	3
14	4	1	Jung Minbum	1992-03-04	g17	1
15	4	1	Kim Minkyu	2020-09-12	e1	3
16	4	1	Jung Sooa	1994-02-23	a12	1
17	5	0	Park Jihoon	1993-12-01	a9	1
18	5	0	Park Jiyeon	1995-02-14	b12	1
19	6	1	Sung Yuin	2017-02-02	b2	2
20	6	1	Sung Hana	1995-12-01	a2	1
21	7	0	Kim Yuyeon	1996-12-11	a9	1
22	7	1	Seo Woorin	1997-01-04	a20	1
23	7	0	Kim Jawoon	2018-12-01	b12	2
24	7	1	Kim Ayi	2020-09-16	d1	3
25	8	1	Cho Chandeul	1998-01-11	e11	1
26	8	1	Han Jimin	1999-12-12	f11	1
27	9	0	Son Yerim	2000-10-01	a5	1
28	9	0	Jung Yejun	2000-01-01	b13	1
29	9	1	Kim Biju	2020-09-25	c3	3
30	10	1	Seo Minju	2001-04-01	a4	1
31	10	0	Kang Sooyeol	2003-12-01	a17	1
32	11	1	Ji Woorim	2002-12-01	c1	1
33	11	1	Park Jium	2017-03-01	a12	2
34	11	0	Kang Nabin	2004-12-02	b1	1
35	11	0	Kang Nabi	2020-10-01	a18	3
36	12	1	Kang Nahoon	2006-06-02	a9	1
37	12	1	Park Jisung	2007-07-04	b10	1
38	12	0	Kang Najin	2020-12-12	c14	3
39	13	1	Kim Garang	1999-06-01	a8	1
40	13	1	Kim Gayoon	2020-11-06	g20	3
41	14	1	Kim Gaya	1997-02-07	e9	1
42	14	0	Kim Gaji	2016-01-19	d1	2
43	15	0	Kim Nasun	2000-12-15	d19	1
44	15	1	Kim Nayoung	2001-05-02	e1	1
45	15	1	Kim Naeun	2002-08-24	e12	1
46	16	0	Kim Naon	2001-01-14	a9	1
47	16	1	Kim Daon	2012-09-12	b9	2
48	17	1	Kim Daji	2002-12-30	f8	1
49	17	1	Kim Dayoon	2006-12-12	d2	1
50	17	1	Kim Gaul	2002-05-31	e12	1
51	17	0	Kim Dahyun	2001-12-12	a2	1
52	18	0	Kim Rayeon	2011-02-03	a4	2
53	18	1	Kim Rayoung	1996-09-23	f1	1
54	19	1	Kim Rayoon	2020-11-14	a13	3
55	19	0	Kim Rawoon	1996-02-01	a15	1
56	19	0	Kim Mayi	2021-02-06	a14	3
57	19	1	Kim Maji	1994-07-02	c14	1
58	20	1	Kim Maru	1996-03-28	a1	1
59	20	0	Kim Yewon	1999-04-02	a5	1
60	20	1	Park Jihyun	2017-01-01	a3	2
61	20	0	Kim Majin	2000-12-06	b3	1
62	21	1	Kim Majun	2018-12-05	b12	2
63	21	0	Baek Yejin	2001-07-02	c12	1
64	21	1	Cho Youngbin	2021-12-02	g12	3
65	21	0	Kim Bajin	2002-01-02	g1	1
66	22	1	Kim Bayoon	2018-05-06	d17	2
67	22	0	Kim Basoon	2002-05-04	c12	1
68	23	1	Moon Chulwoo	2003-09-12	d10	1
69	23	0	Jeon Yonghyun	2009-09-05	e10	1
70	23	0	Jung Yonghyun	2008-12-12	f10	1
71	24	1	Kim Saeun	1998-06-16	a10	1
72	24	0	Kim Sajun	1992-09-05	g10	1
73	25	1	Kim Sayeon	1991-02-01	a9	1
74	25	1	Kim Ahyun	1990-02-06	a20	1
75	26	0	Kim Sahyun	2017-02-01	d1	2
76	26	0	Kim Majin	1989-02-15	f6	1
77	27	0	Kim Bayoon	1988-12-09	e19	1
78	27	0	Kim Majun	1989-02-09	g1	1
79	28	1	Kim Bajin	2000-01-05	d12	1
80	28	0	Kim Awon	2016-03-01	e8	2
81	29	1	Kim Jajoong	2010-05-12	b2	1
82	29	0	Kim Jajin	2005-06-02	a19	1
83	30	1	Kim Jabin	1995-06-01	f1	1
84	30	1	Kim Jawon	1994-06-01	d3	1
85	30	1	Kim Jahyun	2015-06-01	a4	2
86	31	1	Kim Chahyun	1993-05-01	e1	1
87	31	0	Kim Chabin	2021-03-02	f18	3
88	31	1	Kim Chajin	1998-01-06	e1	1
89	31	0	Kang Soobin	2021-02-15	f17	3
90	32	1	Kang Sooyeom	1996-05-05	a19	1
91	32	0	Kang Soojin	1994-06-06	a18	1
92	32	1	Kang Gamchan	1995-02-05	a20	1
93	33	0	Kang Gaan	2011-09-12	a10	2
94	33	1	Kang Gajin	1991-02-05	a14	1
95	33	0	Kang Gasung	2013-05-06	a12	2
96	34	1	Park Jibin	1992-02-02	b1	1
97	34	0	Park Jijin	2021-06-15	b2	3
98	34	1	Park Jiwon	1991-09-05	b3	1
99	35	1	Seo Yina	2018-05-07	c1	2
100	35	1	Seo Yiseo	1990-02-01	b20	1
101	36	0	Seo Yiban	2000-09-12	d1	1
102	36	1	Seo Yijun	2005-09-12	a4	1
103	36	1	Ryu Eunseo	2005-05-06	f4	1
104	37	0	Ryu Eunbin	2004-02-05	e19	1
105	37	0	Ryu Eunsin	2003-06-13	a12	1
106	38	0	Ryu Gain	2016-01-19	b9	2
107	38	0	Ryu Gaeun	1995-05-09	b19	1
108	38	0	Ryu Daeun	1997-06-04	b13	1
